Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_0402_1005Metric,1,10uF,C15525
"C10, C13, C4",C_0402_1005Metric,3,1u,C14445
"C11, C12, C14, C15, C16, C17, C18, C19, C20, C5, C9",C_0402_1005Metric,11,100nF,C1525
C3,C_0402_1005Metric,1,1uF,C14445
"C7, C8",C_0402_1005Metric,2,22pF,C70464
D2,D_SOD-323,1,D_Schottky,C22624
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,HRO_TYPE-C-31-M-14,C165948
J2,promicrorp2040,1,Conn_01x26,
"R1, R2",R_0402_1005Metric,2,5k1,C25905
"R10, R9",R_0402_1005Metric,2,27R,C3017455
"R4, R5",R_0402_1005Metric,2,10k,C60490
R8,R_0402_1005Metric,1,1k,C106235
U1,SOT-23-6,1,USBLC6-2SC6,C2827654
U2,SOT-23-5,1,SOT23-5 200mA 3.3V,C11337
U4,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U5,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C131025
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND23,C9002
